Exon mobile;Equity;#Shares;100000;
Date (GMT);Open;High;Low;Last
17/03/1980;;3,70325;3,60175;3,60175
18/03/1980;;3,6955;3,586;3,6875
19/03/1980;;3,71875;3,66425;3,67975
20/03/1980;;3,6955;3,61725;3,61725
21/03/1980;;3,71875;3,633;3,65625
24/03/1980;;3,64075;3,55475;3,5625
25/03/1980;;3,5705;3,45325;3,49225
26/03/1980;;3,5705;3,49225;3,5
27/03/1980;;3,47675;3,383;3,461
28/03/1980;;3,57825;3,461;3,5625
31/03/1980;;3,61725;3,547;3,61725
01/04/1980;;3,61725;3,547;3,547
02/04/1980;;3,5705;3,53125;3,53125
03/04/1980;;3,547;3,5;3,547
07/04/1980;;3,547;3,46875;3,46875
08/04/1980;;3,461;3,40625;3,4375
09/04/1980;;3,59375;3,46875;3,59375
10/04/1980;;3,61725;3,5625;3,60175
11/04/1980;;3,61725;3,57825;3,57825
14/04/1980;;3,5625;3,53925;3,55475
15/04/1980;;3,6095;3,55475;3,586
16/04/1980;;3,64075;3,5235;3,53125
17/04/1980;;3,60175;3,547;3,5705
18/04/1980;;3,586;3,53125;3,53925
21/04/1980;;3,57825;3,53925;3,5705
22/04/1980;;3,6955;3,61725;3,6955
23/04/1980;;3,7345;3,6875;3,711
24/04/1980;;3,7345;3,67975;3,70325
25/04/1980;;3,7345;3,6875;3,7345
28/04/1980;;3,797;3,72675;3,758
29/04/1980;;3,78125;3,74225;3,7735
30/04/1980;;3,797;3,7345;3,797
01/05/1980;;3,82825;3,78925;3,78925
02/05/1980;;3,78925;3,758;3,78925
05/05/1980;;3,85175;3,797;3,84375
06/05/1980;;3,90625;3,8595;3,89075
07/05/1980;;3,8125;3,76575;3,797
08/05/1980;;3,8205;3,7735;3,78125
09/05/1980;;3,758;3,71875;3,72675
12/05/1980;;3,711;3,6875;3,6875
13/05/1980;;3,76575;3,6955;3,75
14/05/1980;;3,82825;3,7735;3,78925
15/05/1980;;3,797;3,74225;3,74225
16/05/1980;;3,78925;3,758;3,7735
19/05/1980;;3,91425;3,78125;3,8985
20/05/1980;;3,91425;3,883;3,89075
21/05/1980;;3,90625;3,85175;3,90625
22/05/1980;;3,9845;3,90625;3,961
23/05/1980;;4,03925;3,97675;4,0235
27/05/1980;;4,09375;4,047;4,07825
28/05/1980;;4,09375;4,03925;4,07825
29/05/1980;;4,0705;3,95325;3,961
30/05/1980;;4;3,91425;4
02/06/1980;;4,03125;3,9845;3,9845
03/06/1980;;4;3,96875;3,97675
04/06/1980;;4,1095;3,96875;4,09375
05/06/1980;;4,125;4,05475;4,05475
06/06/1980;;4,09375;4,0625;4,0705
09/06/1980;;4,11725;4,086;4,10175
10/06/1980;;4,2345;4,1095;4,2345
11/06/1980;;4,32825;4,172;4,3205
12/06/1980;;4,32825;4,20325;4,3125
13/06/1980;;4,28125;4,172;4,17975
16/06/1980;;4,2345;4,17975;4,20325
17/06/1980;;4,22675;4,1875;4,1955
18/06/1980;;4,3595;4,17975;4,297
19/06/1980;;4,3205;4,2345;4,2345
20/06/1980;;4,25;4,20325;4,21875
23/06/1980;;4,30475;4,22675;4,28125
24/06/1980;;4,28125;4,22675;4,26575
25/06/1980;;4,3125;4,26575;4,297
26/06/1980;;4,36725;4,297;4,30475
27/06/1980;;4,3125;4,258;4,2735
30/06/1980;;4,258;4,14075;4,14075
01/07/1980;;4,211;4,15625;4,1875
02/07/1980;;4,21875;4,1875;4,20325
03/07/1980;;4,3125;4,2345;4,3125
07/07/1980;;4,32825;4,297;4,3125
08/07/1980;;4,3125;4,258;4,258
09/07/1980;;4,34375;4,24225;4,25
10/07/1980;;4,24225;4,1875;4,1875
11/07/1980;;4,258;4,172;4,258
14/07/1980;;4,383;4,258;4,3595
15/07/1980;;4,39075;4,3205;4,336
16/07/1980;;4,375;4,32825;4,336
17/07/1980;;4,51575;4,35175;4,42975
18/07/1980;;4,42975;4,36725;4,39075
21/07/1980;;4,5;4,3985;4,5
22/07/1980;;4,547;4,4845;4,4845
23/07/1980;;4,508;4,46875;4,508
24/07/1980;;4,508;4,45325;4,461
25/07/1980;;4,461;4,40625;4,40625
28/07/1980;;4,46875;4,383;4,46875
29/07/1980;;4,508;4,46875;4,508
30/07/1980;;4,5;4,41425;4,41425
31/07/1980;;4,375;4,30475;4,35175
01/08/1980;;4,42975;4,336;4,3985
04/08/1980;;4,40625;4,34375;4,375
05/08/1980;;4,3985;4,36725;4,39075
06/08/1980;;4,42975;4,383;4,42975
07/08/1980;;4,36725;4,336;4,36725
08/08/1980;;4,3985;4,34375;4,3595
11/08/1980;;4,41425;4,3595;4,41425
12/08/1980;;4,42975;4,383;4,383
13/08/1980;;4,41425;4,375;4,383
14/08/1980;;4,46875;4,383;4,46875
15/08/1980;;4,51575;4,45325;4,51575
18/08/1980;;4,47675;4,3985;4,3985
19/08/1980;;4,42975;4,375;4,375
20/08/1980;;4,4375;4,375;4,4375
21/08/1980;;4,4845;4,42975;4,4845
22/08/1980;;4,547;4,49225;4,508
25/08/1980;;4,508;4,46875;4,49225
26/08/1980;;4,53125;4,4845;4,49225
27/08/1980;;4,49225;4,45325;4,46875
28/08/1980;;4,46875;4,375;4,375
29/08/1980;;4,383;4,34375;4,375
02/09/1980;;4,4455;4,375;4,422
03/09/1980;;4,5;4,461;4,49225
04/09/1980;;4,5705;4,461;4,47675
05/09/1980;;4,5;4,47675;4,49225
08/09/1980;;4,47675;4,39075;4,39075
09/09/1980;;4,375;4,336;4,36725
10/09/1980;;4,49225;4,39075;4,461
11/09/1980;;4,4845;4,41425;4,4375
12/09/1980;;4,45325;4,375;4,39075
15/09/1980;;4,3985;4,35175;4,39075
16/09/1980;;4,3985;4,34375;4,3595
17/09/1980;;4,375;4,35175;4,35175
18/09/1980;;4,36725;4,3205;4,34375
19/09/1980;;4,35175;4,2735;4,28125
22/09/1980;;4,32825;4,21875;4,30475
23/09/1980;;4,375;4,297;4,3125
24/09/1980;;4,46875;4,3205;4,4455
25/09/1980;;4,508;4,41425;4,45325
26/09/1980;;4,3985;4,35175;4,39075
29/09/1980;;4,35175;4,2735;4,28125
30/09/1980;;4,383;4,297;4,3595
01/10/1980;;4,49225;4,2735;4,49225
02/10/1980;;4,60175;4,461;4,586
03/10/1980;;4,6095;4,5625;4,5625
06/10/1980;;4,711;4,5625;4,70325
07/10/1980;;4,711;4,65625;4,6875
08/10/1980;;4,7345;4,672;4,71875
09/10/1980;;4,78125;4,70325;4,70325
10/10/1980;;4,74225;4,6875;4,6875
13/10/1980;;4,8205;4,6955;4,797
14/10/1980;;4,84375;4,8125;4,8205
15/10/1980;;4,96875;4,8205;4,961
16/10/1980;;5,047;4,89075;4,8985
17/10/1980;;4,90625;4,84375;4,90625
20/10/1980;;4,9845;4,875;4,9845
21/10/1980;;4,97675;4,875;4,922
22/10/1980;;4,92975;4,875;4,8985
23/10/1980;;4,92975;4,86725;4,86725
24/10/1980;;4,883;4,836;4,875
27/10/1980;;4,86725;4,82825;4,82825
28/10/1980;;4,84375;4,8125;4,84375
29/10/1980;;4,8595;4,78925;4,78925
30/10/1980;;4,80475;4,711;4,72675
31/10/1980;;4,78125;4,70325;4,758
03/11/1980;;4,9455;4,76575;4,922
05/11/1980;;5,09375;5;5
06/11/1980;;5,008;4,9455;4,95325
07/11/1980;;4,96875;4,9375;4,9455
10/11/1980;;5,008;4,96875;5
11/11/1980;;5,1095;5,0235;5,07825
12/11/1980;;5,10175;5,0235;5,07825
13/11/1980;;5,14075;5,07825;5,14075
14/11/1980;;5,22675;5,11725;5,172
17/11/1980;;5,22675;5,15625;5,22675
18/11/1980;;5,3595;5,22675;5,32825
19/11/1980;;5,53125;5,32825;5,422
20/11/1980;;5,508;5,39075;5,46875
21/11/1980;;5,547;5,4455;5,4845
24/11/1980;;5,4375;5,34375;5,41425
25/11/1980;;5,4375;5,28125;5,36725
26/11/1980;;5,46875;5,383;5,422
28/11/1980;;5,5235;5,42975;5,49225
01/12/1980;;5,49225;5,36725;5,375
02/12/1980;;5,39075;5,21875;5,28925
03/12/1980;;5,297;5,2345;5,25
04/12/1980;;5,258;5,1485;5,1485
05/12/1980;;5,1095;5,008;5,008
08/12/1980;;4,96875;4,89075;4,90625
09/12/1980;;4,99225;4,8595;4,961
10/12/1980;;5,05475;4,95325;4,9845
11/12/1980;;4,961;4,8125;4,85175
12/12/1980;;4,95325;4,883;4,922
15/12/1980;;4,99225;4,922;4,9455
16/12/1980;;5,125;4,9455;5,10175
17/12/1980;;5,28925;5,1485;5,2735
18/12/1980;;5,3595;5,211;5,211
19/12/1980;;5,211;5,125;5,14075
22/12/1980;;5,16425;5,0705;5,1095
23/12/1980;;5,133;5;5,0235
24/12/1980;;5,03125;5,008;5,0235
26/12/1980;;5,05475;4,99225;5,05475
29/12/1980;;5,05475;5,01575;5,01575
30/12/1980;;5,0705;5,0235;5,047
31/12/1980;;5,10175;5,0235;5,03925
02/01/1981;;5,07825;5,01575;5,0705
05/01/1981;;5,1095;5,0625;5,0705
06/01/1981;;5,125;4,9845;5,03125
07/01/1981;;4,961;4,875;4,9375
08/01/1981;;4,92975;4,71875;4,78925
09/01/1981;;4,836;4,72675;4,836
12/01/1981;;4,92975;4,84375;4,85175
13/01/1981;;4,95325;4,85175;4,95325
14/01/1981;;4,9845;4,875;4,8985
15/01/1981;;4,99225;4,883;4,99225
16/01/1981;;5,0235;4,961;5
